# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72ff3b809b8
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a888a9bd6564c0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1815.71,1989,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398981,230693,4,4,65664,8,261632,0,65408,8,127
11a888a9bd86bb00,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,21.088,197,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1171,0,1,1,1,0,0,0,0,0,0
11a888a9bd8cfbe0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,988.704,1163,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,6,112
11a888a9bda57ac0,_Z18floor_array_kernelPf,998.592,1181,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,87,167
11a888a9bdba65e0,_Z21copy_particles_kernel9particlesS_,40137.3,40310,0.333,8192,1,256,1,1,0,112,22,0,,2048,178196,57022,8998991,0,4096,1048576,1442466,12590964,1013292,0,1254451,5893,1646
11a888a9c024cbc0,_Z18time_update_kernel9particlesff,4856.93,5036,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527850,0,4096,0,327680,0,786432,0,327680,561,717
11a888a9c0748220,_Z32apply_azimuth_observation_kernel9particles11observation,4187.01,4362,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757235,0,4096,0,196608,0,262144,0,196608,335,431
11a888a9c0be6ec0,memcpyHtoD,4.832,4,,,,,,,,,,0,4
11a888a9c0beb820,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,392.832,575,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118241,0,4,0,65528,8,0,0,65544,96,162
11a888a9c0ca9400,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.336,211,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,0,0,0,0,4,0,1,0,0
11a888a9c0d055c0,memcpyDtoH,5.568,309,,,,,,,,,,0,4
11a888a9c0d6e000,_Z15multiply_kernelPff,996.128,1201,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,89,165
11a888a9c0edf4a0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1820.51,2006,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398984,226175,4,4,65664,8,261632,0,65408,8,127
11a888a9c11116e0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,14.4,375,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1170,2,1,1,1,0,0,0,0,0,0
